,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
274,Maruti Ciaz VDI+ SHVS,Delhi,2015,"95,637",Diesel,1st,"5,44,999"
275,Maruti Ciaz SHVS VDI,Delhi,2017,"98,712",Diesel,1st,"5,54,699"
276,Maruti Swift VDI,Delhi,2013,"84,308",Diesel,2nd,"3,11,699"
277,Maruti Swift Dzire VDI,Delhi,2013,"1,06,300",Diesel,1st,"3,38,099"
278,Honda Mobilio 1.5 S I DTEC,Delhi,2015,"99,511",Diesel,1st,"4,26,399"
279,Maruti Swift Dzire VDI BS IV,Delhi,2012,"1,05,522",Diesel,1st,"3,13,899"
280,Maruti Swift Dzire VDI,Delhi,2013,"90,775",Diesel,1st,"3,54,999"
281,Toyota Etios Liva D 4D GD,Delhi,2013,"1,11,431",Diesel,1st,"3,17,899"
282,Maruti Swift VDI,Delhi,2012,"95,613",Diesel,1st,"3,00,599"
283,Maruti Swift VDI ABS,Delhi,2015,"96,266",Diesel,1st,"4,09,799"
284,Maruti Swift Dzire VDI BS IV,Delhi,2013,"1,04,976",Diesel,2nd,"3,28,099"
